job_titles,company_names,company_locations,work_methods,post_dates,work_times
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Toronto, ON · Reposted 1 day ago · 75 applicants",Remote,Reposted 1 day ago,Full-time
Analyste des données,Ministère des Transports et de la Mobilité durable du Québec (MTMD),"Ministère des Transports et de la Mobilité durable du Québec (MTMD) · Quebec, Canada · 1 week ago · 9 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
"Sr Analyst, Business Intelligence (CPG)",Acosta Canada,"Acosta Canada · Mississauga, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
"Data Analyst, Payroll Implementation",Magna International,"Magna International · Aurora, ON · Reposted 2 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 days ago,On-site
ILI Data Analysis Supervisor,ENTEGRA,"ENTEGRA · Vaughan, ON · 3 days ago · 29 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Vancouver, BC · Reposted 1 day ago · 51 applicants",Remote,Reposted 1 day ago,Full-time
"Senior Data Analyst, Performance Marketing",Groupe Dynamite,"Groupe Dynamite · Montreal, QC · 2 weeks ago · 26 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data Analyst,INNOCEAN Canada,"INNOCEAN Canada · Toronto, ON · Reposted 4 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 4 days ago,Hybrid
Senior Data Analyst (Fixed Term),Sun Life,"Sun Life · Toronto, ON · 1 week ago · 51 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Nova Scotia, Canada · Reposted 1 day ago · 59 applicants",Remote,Reposted 1 day ago,Full-time
AI/Machine Learning Analyst,Fujitsu,"Fujitsu · Ottawa, ON · 2 weeks ago · 95 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data Analysis Trainee,ENTEGRA,"ENTEGRA · Vaughan, ON · 2 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 days ago,On-site
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Calgary, AB · Reposted 1 day ago · 63 applicants",Remote,Reposted 1 day ago,Full-time
"Information Analyst, Mandatory Corporate Action",TMX Group,"TMX Group · Montreal, QC · 1 week ago · 6 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Business Intelligence Analyst,ISM,"ISM · Regina, SK · 2 days ago · 70 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 days ago,On-site
Data Analyst II,Seaspan ULC,"Seaspan ULC · North Vancouver, BC · Reposted 2 weeks ago · 57 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
Power BI Consultant,Virtusa,"Virtusa · Toronto, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Biostatistician Intern- Canada,ClinChoice,"ClinChoice · Greater Toronto Area, Canada · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Agoda · Montreal, QC · Reposted 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Data Analyst (Hybrid) - Contract,Stryker,"Stryker · Hamilton, ON · Reposted 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 3 days ago,Hybrid
Senior Internal Auditor & Data Analyst,BOMBARDIER,"BOMBARDIER · Dorval, QC · Reposted 2 days ago · 19 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
Senior Analyst - Digital Analytics,Loblaw Digital,"Loblaw Digital · Toronto, ON · 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
"Analyst, Data Mgmt & Governance",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 2 weeks ago · 69 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
