job_titles,company_names,company_locations,work_methods,post_dates,work_times
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,"Agoda · Vancouver, BC · Reposted 1 week ago · 88 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Nova Scotia, Canada · Reposted 1 week ago · 55 applicants",Remote,Reposted 1 week ago,Full-time
Principal Quantitative Analyst - 23358D,Enverus,"Enverus · Calgary, AB · Reposted 1 week ago · 182 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Vancouver, BC · Reposted 1 week ago · 39 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Halifax, NS · 1 week ago · 17 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Windsor, ON · 1 week ago · 28 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Queens, PE · 1 week ago · 16 applicants",Remote,1 week ago,Full-time
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · New Brunswick, Canada · Reposted 1 week ago · 39 applicants",Remote,Reposted 1 week ago,Full-time
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Vancouver, BC · Reposted 1 week ago · 57 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · St John’s, NL · 1 week ago · 15 applicants",Remote,1 week ago,Full-time
EAM Infrastructure Data Analyst,Coast Mountain Bus Company,"Coast Mountain Bus Company · Greater Vancouver, BC · 2 days ago · 33 applicants","$5,460/month - $6,557/month",2 days ago,On-site
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Guelph, ON · 1 week ago · 105 applicants",Remote,1 week ago,On-site
Business Intelligence Database Analyst / Developer,Workers Compensation Board of Manitoba,"Workers Compensation Board of Manitoba · Winnipeg, MB · 4 days ago · 157 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Halifax, NS · 1 week ago · 93 applicants",Remote,1 week ago,Hybrid
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Agoda · Montreal, QC · Reposted 1 week ago · 262 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Morrisburg, ON · Reposted 2 days ago · 14 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Tillsonburg, ON · Reposted 2 days ago · 21 applicants",Remote,Reposted 2 days ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Toronto, ON · Reposted 2 weeks ago · 122 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Montreal, QC · Reposted 2 weeks ago · 577 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
Étudiant(e) - Analyste en gouvernance de données,iA Financial Group (Industrial Alliance),"iA Financial Group (Industrial Alliance) · Québec, QC · 1 week ago · 42 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Montreal, QC · Reposted 2 days ago · 32 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Winnipeg, MB · Reposted 2 days ago · 22 applicants",Remote,Reposted 2 days ago,Full-time
Data Governance Analyst,H&R Block Canada,"H&R Block Canada · Calgary, AB · 1 week ago · 137 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
"Sr Analyst, Business Intelligence (CPG)",Acosta Canada,"Acosta Canada · Mississauga, ON · Reposted 1 month ago · 1,076 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 month ago,Hybrid
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Agoda · Vancouver, BC · Reposted 1 week ago · 307 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Sr. Intelligence Analyst - Crypto eCrime (Remote),CrowdStrike,"CrowdStrike · New Brunswick, Canada · Reposted 3 days ago · 42 applicants",Remote,Reposted 3 days ago,Full-time
Sr. Intelligence Analyst - Crypto eCrime (Remote),CrowdStrike,"CrowdStrike · Nova Scotia, Canada · Reposted 3 days ago · 45 applicants",Remote,Reposted 3 days ago,Full-time
Sr. Intelligence Analyst - Crypto eCrime (Remote),CrowdStrike,"CrowdStrike · Vancouver, BC · Reposted 3 days ago · 28 applicants",Remote,Reposted 3 days ago,Full-time
Sr. Intelligence Analyst - Crypto eCrime (Remote),CrowdStrike,"CrowdStrike · Calgary, AB · Reposted 3 days ago · 33 applicants",Remote,Reposted 3 days ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Victoria, BC · Reposted 2 weeks ago · 39 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
"Senior Data Analyst (Product Team) (Bangkok Based, relocation provided)",Agoda,"Agoda · Vancouver, BC · Reposted 1 week ago · 117 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Senior Data Analyst (Product Team) (Bangkok Based, relocation provided)",Agoda,"Agoda · Toronto, ON · Reposted 1 week ago · 158 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Analyste BI,Groupe Geloso,"Groupe Geloso · Laval, QC · Reposted 5 days ago · 414 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 5 days ago,Hybrid
Data Analysis Trainee,ENTEGRA,"ENTEGRA · Leduc, AB · Reposted 3 days ago · 133 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Quantitative Analyst,Affirm,"Affirm · Kelowna, BC · 1 week ago · 17 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Edmonton, AB · 1 week ago · 22 applicants",Remote,1 week ago,Full-time
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Mont-St-Hilaire, QC · Reposted 2 weeks ago · 407 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
"Junior Business Data Analyst, Infrastructure &Automations, Credit Management & Recoveries",RBC,"RBC · Mississauga, ON · 2 days ago · 77 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 days ago,Full-time
"Business Consultant, Data Analysis",Apex Systems,"Apex Systems · Toronto, ON · 5 days ago · 145 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",5 days ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · Hamilton, ON · 1 week ago · 39 applicants",Remote,1 week ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Halifax, NS · Reposted 2 weeks ago · 32 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
Lead Systems Analyst - HR systems,OpenText,"OpenText · Richmond Hill, ON · Reposted 1 week ago · 37 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
CIBC - Analyste Quantitatif - Multiclasse d’actifs et gestion des devises - Montreal - bilingue,CIBC,"CIBC · Montreal, QC · 1 day ago · 5 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 day ago,Full-time
ILI (In Line Inspection) MFL Data Analyst II,ENTEGRA,"ENTEGRA · Leduc, AB · Reposted 3 days ago · 19 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Alberta, Canada · Reposted 2 days ago · 15 applicants",Remote,Reposted 2 days ago,Full-time
EAM Infrastructure Data Analyst,Coast Mountain Bus Company,"Coast Mountain Bus Company · Greater Vancouver, BC · 1 week ago · 40 applicants","CA$5,460/month - CA$6,557/month",1 week ago,Hybrid
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Winnipeg, MB · 1 week ago · 105 applicants",Remote,1 week ago,Hybrid
Biostatistician,Pharma Medica Research Inc.,"Pharma Medica Research Inc. · Mississauga, ON · 2 weeks ago · 186 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 weeks ago,On-site
Senior Business Intelligence Analyst,Grammarly,"Grammarly · Vancouver, BC · Reposted 1 week ago · 124 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Senior HR Systems Analyst,Pinnacle | Executive & Professional Search,"Pinnacle | Executive & Professional Search · Winnipeg, MB · 1 week ago · 73 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · Drummondville, QC · Reposted 1 week ago · 1 applicant","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · St-Hyacinthe, QC · Reposted 1 week ago · 0 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · Sept-Îles, QC · Reposted 1 week ago · 1 applicant","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · Farnham, QC · Reposted 1 week ago · 1 applicant","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Lead Data Analyst – Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Agoda · Toronto, ON · 5 days ago · 23 applicants","Full-time
Matches your job preferences, job type is Full-time.",5 days ago,Full-time
Quantitative Analyst,NumerixS Technologies (NumerixS Quant),"NumerixS Technologies (NumerixS Quant) · Vancouver, BC · 4 months ago · 935 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 months ago,On-site
